"film_id","category_id","last_update"
116,4,"2020-02-15 12:07:09+02"
117,10,"2020-02-15 12:07:09+02"
118,2,"2020-02-15 12:07:09+02"
119,5,"2020-02-15 12:07:09+02"
120,15,"2020-02-15 12:07:09+02"
121,2,"2020-02-15 12:07:09+02"
122,11,"2020-02-15 12:07:09+02"
123,16,"2020-02-15 12:07:09+02"
124,3,"2020-02-15 12:07:09+02"
125,16,"2020-02-15 12:07:09+02"
126,1,"2020-02-15 12:07:09+02"
127,5,"2020-02-15 12:07:09+02"
128,9,"2020-02-15 12:07:09+02"
129,6,"2020-02-15 12:07:09+02"
130,1,"2020-02-15 12:07:09+02"
131,4,"2020-02-15 12:07:09+02"
132,14,"2020-02-15 12:07:09+02"
133,12,"2020-02-15 12:07:09+02"
134,2,"2020-02-15 12:07:09+02"
135,15,"2020-02-15 12:07:09+02"
136,13,"2020-02-15 12:07:09+02"
137,14,"2020-02-15 12:07:09+02"
138,14,"2020-02-15 12:07:09+02"
139,8,"2020-02-15 12:07:09+02"
140,14,"2020-02-15 12:07:09+02"
141,10,"2020-02-15 12:07:09+02"
142,6,"2020-02-15 12:07:09+02"
143,7,"2020-02-15 12:07:09+02"
144,13,"2020-02-15 12:07:09+02"
145,8,"2020-02-15 12:07:09+02"
146,7,"2020-02-15 12:07:09+02"
147,8,"2020-02-15 12:07:09+02"
148,9,"2020-02-15 12:07:09+02"
149,3,"2020-02-15 12:07:09+02"
150,6,"2020-02-15 12:07:09+02"
151,14,"2020-02-15 12:07:09+02"
152,3,"2020-02-15 12:07:09+02"
153,14,"2020-02-15 12:07:09+02"
154,2,"2020-02-15 12:07:09+02"
155,13,"2020-02-15 12:07:09+02"
156,6,"2020-02-15 12:07:09+02"
157,3,"2020-02-15 12:07:09+02"
158,12,"2020-02-15 12:07:09+02"
159,5,"2020-02-15 12:07:09+02"
160,2,"2020-02-15 12:07:09+02"
161,12,"2020-02-15 12:07:09+02"
162,1,"2020-02-15 12:07:09+02"
163,13,"2020-02-15 12:07:09+02"
164,6,"2020-02-15 12:07:09+02"
165,14,"2020-02-15 12:07:09+02"
166,4,"2020-02-15 12:07:09+02"
167,16,"2020-02-15 12:07:09+02"
168,3,"2020-02-15 12:07:09+02"
169,16,"2020-02-15 12:07:09+02"
170,9,"2020-02-15 12:07:09+02"
171,11,"2020-02-15 12:07:09+02"
172,7,"2020-02-15 12:07:09+02"
173,7,"2020-02-15 12:07:09+02"
174,12,"2020-02-15 12:07:09+02"
175,8,"2020-02-15 12:07:09+02"
176,15,"2020-02-15 12:07:09+02"
177,14,"2020-02-15 12:07:09+02"
178,5,"2020-02-15 12:07:09+02"
179,7,"2020-02-15 12:07:09+02"
180,4,"2020-02-15 12:07:09+02"
181,16,"2020-02-15 12:07:09+02"
182,5,"2020-02-15 12:07:09+02"
183,8,"2020-02-15 12:07:09+02"
184,4,"2020-02-15 12:07:09+02"
185,9,"2020-02-15 12:07:09+02"
186,7,"2020-02-15 12:07:09+02"
187,15,"2020-02-15 12:07:09+02"
188,5,"2020-02-15 12:07:09+02"
189,10,"2020-02-15 12:07:09+02"
190,4,"2020-02-15 12:07:09+02"
191,3,"2020-02-15 12:07:09+02"
192,9,"2020-02-15 12:07:09+02"
193,2,"2020-02-15 12:07:09+02"
194,1,"2020-02-15 12:07:09+02"
195,14,"2020-02-15 12:07:09+02"
196,4,"2020-02-15 12:07:09+02"
197,15,"2020-02-15 12:07:09+02"
198,9,"2020-02-15 12:07:09+02"
199,6,"2020-02-15 12:07:09+02"
200,10,"2020-02-15 12:07:09+02"
201,9,"2020-02-15 12:07:09+02"
202,5,"2020-02-15 12:07:09+02"
203,14,"2020-02-15 12:07:09+02"
204,7,"2020-02-15 12:07:09+02"
205,1,"2020-02-15 12:07:09+02"
206,6,"2020-02-15 12:07:09+02"
207,9,"2020-02-15 12:07:09+02"
208,2,"2020-02-15 12:07:09+02"
209,7,"2020-02-15 12:07:09+02"
210,1,"2020-02-15 12:07:09+02"
211,10,"2020-02-15 12:07:09+02"
212,1,"2020-02-15 12:07:09+02"
213,8,"2020-02-15 12:07:09+02"
214,3,"2020-02-15 12:07:09+02"
215,10,"2020-02-15 12:07:09+02"
216,13,"2020-02-15 12:07:09+02"
217,10,"2020-02-15 12:07:09+02"
218,7,"2020-02-15 12:07:09+02"
219,6,"2020-02-15 12:07:09+02"
220,12,"2020-02-15 12:07:09+02"
221,6,"2020-02-15 12:07:09+02"
222,11,"2020-02-15 12:07:09+02"
223,2,"2020-02-15 12:07:09+02"
224,16,"2020-02-15 12:07:09+02"
225,7,"2020-02-15 12:07:09+02"
226,13,"2020-02-15 12:07:09+02"
227,10,"2020-02-15 12:07:09+02"
228,4,"2020-02-15 12:07:09+02"
229,1,"2020-02-15 12:07:09+02"
230,7,"2020-02-15 12:07:09+02"
231,8,"2020-02-15 12:07:09+02"
232,10,"2020-02-15 12:07:09+02"
233,16,"2020-02-15 12:07:09+02"
234,14,"2020-02-15 12:07:09+02"
235,14,"2020-02-15 12:07:09+02"
236,10,"2020-02-15 12:07:09+02"
237,15,"2020-02-15 12:07:09+02"
238,3,"2020-02-15 12:07:09+02"
239,2,"2020-02-15 12:07:09+02"
240,14,"2020-02-15 12:07:09+02"
241,2,"2020-02-15 12:07:09+02"
242,5,"2020-02-15 12:07:09+02"
243,2,"2020-02-15 12:07:09+02"
244,12,"2020-02-15 12:07:09+02"
245,2,"2020-02-15 12:07:09+02"
246,9,"2020-02-15 12:07:09+02"
247,5,"2020-02-15 12:07:09+02"
248,6,"2020-02-15 12:07:09+02"
249,4,"2020-02-15 12:07:09+02"
250,1,"2020-02-15 12:07:09+02"
251,13,"2020-02-15 12:07:09+02"
252,1,"2020-02-15 12:07:09+02"
253,1,"2020-02-15 12:07:09+02"
254,15,"2020-02-15 12:07:09+02"
255,12,"2020-02-15 12:07:09+02"
256,15,"2020-02-15 12:07:09+02"
257,16,"2020-02-15 12:07:09+02"
258,11,"2020-02-15 12:07:09+02"
259,2,"2020-02-15 12:07:09+02"
260,15,"2020-02-15 12:07:09+02"
261,6,"2020-02-15 12:07:09+02"
262,8,"2020-02-15 12:07:09+02"
263,15,"2020-02-15 12:07:09+02"
264,10,"2020-02-15 12:07:09+02"
265,5,"2020-02-15 12:07:09+02"
266,4,"2020-02-15 12:07:09+02"
267,13,"2020-02-15 12:07:09+02"
268,2,"2020-02-15 12:07:09+02"
269,8,"2020-02-15 12:07:09+02"
270,13,"2020-02-15 12:07:09+02"
271,1,"2020-02-15 12:07:09+02"
272,7,"2020-02-15 12:07:09+02"
273,8,"2020-02-15 12:07:09+02"
274,6,"2020-02-15 12:07:09+02"
275,11,"2020-02-15 12:07:09+02"
276,5,"2020-02-15 12:07:09+02"
277,11,"2020-02-15 12:07:09+02"
278,12,"2020-02-15 12:07:09+02"
279,15,"2020-02-15 12:07:09+02"
280,3,"2020-02-15 12:07:09+02"
281,10,"2020-02-15 12:07:09+02"
282,7,"2020-02-15 12:07:09+02"
283,13,"2020-02-15 12:07:09+02"
284,12,"2020-02-15 12:07:09+02"
285,14,"2020-02-15 12:07:09+02"
286,16,"2020-02-15 12:07:09+02"
287,1,"2020-02-15 12:07:09+02"
288,16,"2020-02-15 12:07:09+02"
289,13,"2020-02-15 12:07:09+02"
290,9,"2020-02-15 12:07:09+02"
291,15,"2020-02-15 12:07:09+02"
292,1,"2020-02-15 12:07:09+02"
293,15,"2020-02-15 12:07:09+02"
294,16,"2020-02-15 12:07:09+02"
295,6,"2020-02-15 12:07:09+02"
296,14,"2020-02-15 12:07:09+02"
297,4,"2020-02-15 12:07:09+02"
298,14,"2020-02-15 12:07:09+02"
299,16,"2020-02-15 12:07:09+02"
300,2,"2020-02-15 12:07:09+02"
301,11,"2020-02-15 12:07:09+02"
302,10,"2020-02-15 12:07:09+02"
303,1,"2020-02-15 12:07:09+02"
304,3,"2020-02-15 12:07:09+02"
305,13,"2020-02-15 12:07:09+02"
306,10,"2020-02-15 12:07:09+02"
307,16,"2020-02-15 12:07:09+02"
308,5,"2020-02-15 12:07:09+02"
309,8,"2020-02-15 12:07:09+02"
310,10,"2020-02-15 12:07:09+02"
311,9,"2020-02-15 12:07:09+02"
312,14,"2020-02-15 12:07:09+02"
313,11,"2020-02-15 12:07:09+02"
314,2,"2020-02-15 12:07:09+02"
315,8,"2020-02-15 12:07:09+02"
316,10,"2020-02-15 12:07:09+02"
317,5,"2020-02-15 12:07:09+02"
318,1,"2020-02-15 12:07:09+02"
319,14,"2020-02-15 12:07:09+02"
320,13,"2020-02-15 12:07:09+02"
321,13,"2020-02-15 12:07:09+02"
322,15,"2020-02-15 12:07:09+02"
323,15,"2020-02-15 12:07:09+02"
324,5,"2020-02-15 12:07:09+02"
325,2,"2020-02-15 12:07:09+02"
326,2,"2020-02-15 12:07:09+02"
327,1,"2020-02-15 12:07:09+02"
328,3,"2020-02-15 12:07:09+02"
329,1,"2020-02-15 12:07:09+02"
330,2,"2020-02-15 12:07:09+02"
331,10,"2020-02-15 12:07:09+02"
332,5,"2020-02-15 12:07:09+02"
333,12,"2020-02-15 12:07:09+02"
334,11,"2020-02-15 12:07:09+02"
335,5,"2020-02-15 12:07:09+02"
336,6,"2020-02-15 12:07:09+02"
337,9,"2020-02-15 12:07:09+02"
338,14,"2020-02-15 12:07:09+02"
339,16,"2020-02-15 12:07:09+02"
340,13,"2020-02-15 12:07:09+02"
341,4,"2020-02-15 12:07:09+02"
342,16,"2020-02-15 12:07:09+02"
343,3,"2020-02-15 12:07:09+02"
344,3,"2020-02-15 12:07:09+02"
345,8,"2020-02-15 12:07:09+02"
346,4,"2020-02-15 12:07:09+02"
347,16,"2020-02-15 12:07:09+02"
348,8,"2020-02-15 12:07:09+02"
349,2,"2020-02-15 12:07:09+02"
350,14,"2020-02-15 12:07:09+02"
351,11,"2020-02-15 12:07:09+02"
352,10,"2020-02-15 12:07:09+02"
353,9,"2020-02-15 12:07:09+02"
354,3,"2020-02-15 12:07:09+02"
355,2,"2020-02-15 12:07:09+02"
356,3,"2020-02-15 12:07:09+02"
357,4,"2020-02-15 12:07:09+02"
358,4,"2020-02-15 12:07:09+02"
359,8,"2020-02-15 12:07:09+02"
360,1,"2020-02-15 12:07:09+02"
361,15,"2020-02-15 12:07:09+02"
362,10,"2020-02-15 12:07:09+02"
363,12,"2020-02-15 12:07:09+02"
364,13,"2020-02-15 12:07:09+02"
365,5,"2020-02-15 12:07:09+02"
366,7,"2020-02-15 12:07:09+02"
367,14,"2020-02-15 12:07:09+02"
368,7,"2020-02-15 12:07:09+02"
369,14,"2020-02-15 12:07:09+02"
370,3,"2020-02-15 12:07:09+02"
371,1,"2020-02-15 12:07:09+02"
372,15,"2020-02-15 12:07:09+02"
373,3,"2020-02-15 12:07:09+02"
374,14,"2020-02-15 12:07:09+02"
375,1,"2020-02-15 12:07:09+02"
376,9,"2020-02-15 12:07:09+02"
377,8,"2020-02-15 12:07:09+02"
378,12,"2020-02-15 12:07:09+02"
379,7,"2020-02-15 12:07:09+02"
380,9,"2020-02-15 12:07:09+02"
381,10,"2020-02-15 12:07:09+02"
382,10,"2020-02-15 12:07:09+02"
383,15,"2020-02-15 12:07:09+02"
384,12,"2020-02-15 12:07:09+02"
385,5,"2020-02-15 12:07:09+02"
386,16,"2020-02-15 12:07:09+02"
387,10,"2020-02-15 12:07:09+02"
388,5,"2020-02-15 12:07:09+02"
389,15,"2020-02-15 12:07:09+02"
390,14,"2020-02-15 12:07:09+02"
391,8,"2020-02-15 12:07:09+02"
392,3,"2020-02-15 12:07:09+02"
393,6,"2020-02-15 12:07:09+02"
394,14,"2020-02-15 12:07:09+02"
395,1,"2020-02-15 12:07:09+02"
396,7,"2020-02-15 12:07:09+02"
397,14,"2020-02-15 12:07:09+02"
398,12,"2020-02-15 12:07:09+02"
399,9,"2020-02-15 12:07:09+02"
400,6,"2020-02-15 12:07:09+02"
401,7,"2020-02-15 12:07:09+02"
402,2,"2020-02-15 12:07:09+02"
403,7,"2020-02-15 12:07:09+02"
404,5,"2020-02-15 12:07:09+02"
405,16,"2020-02-15 12:07:09+02"
406,10,"2020-02-15 12:07:09+02"
407,6,"2020-02-15 12:07:09+02"
408,10,"2020-02-15 12:07:09+02"
409,3,"2020-02-15 12:07:09+02"
410,5,"2020-02-15 12:07:09+02"
411,12,"2020-02-15 12:07:09+02"
412,6,"2020-02-15 12:07:09+02"
413,5,"2020-02-15 12:07:09+02"
414,9,"2020-02-15 12:07:09+02"
415,11,"2020-02-15 12:07:09+02"
416,9,"2020-02-15 12:07:09+02"
417,1,"2020-02-15 12:07:09+02"
418,7,"2020-02-15 12:07:09+02"
419,8,"2020-02-15 12:07:09+02"
420,15,"2020-02-15 12:07:09+02"
421,9,"2020-02-15 12:07:09+02"
422,14,"2020-02-15 12:07:09+02"
423,3,"2020-02-15 12:07:09+02"
424,3,"2020-02-15 12:07:09+02"
425,4,"2020-02-15 12:07:09+02"
426,12,"2020-02-15 12:07:09+02"
427,6,"2020-02-15 12:07:09+02"
428,8,"2020-02-15 12:07:09+02"
429,15,"2020-02-15 12:07:09+02"
430,2,"2020-02-15 12:07:09+02"
431,9,"2020-02-15 12:07:09+02"
432,4,"2020-02-15 12:07:09+02"
433,2,"2020-02-15 12:07:09+02"
434,16,"2020-02-15 12:07:09+02"
435,9,"2020-02-15 12:07:09+02"
436,13,"2020-02-15 12:07:09+02"
437,8,"2020-02-15 12:07:09+02"
438,10,"2020-02-15 12:07:09+02"
439,7,"2020-02-15 12:07:09+02"
440,9,"2020-02-15 12:07:09+02"
441,6,"2020-02-15 12:07:09+02"
442,8,"2020-02-15 12:07:09+02"
443,5,"2020-02-15 12:07:09+02"
444,5,"2020-02-15 12:07:09+02"
445,4,"2020-02-15 12:07:09+02"
446,15,"2020-02-15 12:07:09+02"
447,10,"2020-02-15 12:07:09+02"
448,13,"2020-02-15 12:07:09+02"
449,14,"2020-02-15 12:07:09+02"
450,3,"2020-02-15 12:07:09+02"
451,16,"2020-02-15 12:07:09+02"
452,9,"2020-02-15 12:07:09+02"
453,15,"2020-02-15 12:07:09+02"
454,12,"2020-02-15 12:07:09+02"
455,9,"2020-02-15 12:07:09+02"
456,2,"2020-02-15 12:07:09+02"
457,6,"2020-02-15 12:07:09+02"
458,8,"2020-02-15 12:07:09+02"
459,9,"2020-02-15 12:07:09+02"
460,9,"2020-02-15 12:07:09+02"
461,2,"2020-02-15 12:07:09+02"
462,12,"2020-02-15 12:07:09+02"
463,15,"2020-02-15 12:07:09+02"
464,2,"2020-02-15 12:07:09+02"
465,13,"2020-02-15 12:07:09+02"
466,6,"2020-02-15 12:07:09+02"
467,9,"2020-02-15 12:07:09+02"
468,3,"2020-02-15 12:07:09+02"
469,4,"2020-02-15 12:07:09+02"
470,2,"2020-02-15 12:07:09+02"
471,4,"2020-02-15 12:07:09+02"
472,16,"2020-02-15 12:07:09+02"
473,7,"2020-02-15 12:07:09+02"
474,15,"2020-02-15 12:07:09+02"
475,11,"2020-02-15 12:07:09+02"
476,8,"2020-02-15 12:07:09+02"
477,12,"2020-02-15 12:07:09+02"
478,5,"2020-02-15 12:07:09+02"
479,8,"2020-02-15 12:07:09+02"
480,4,"2020-02-15 12:07:09+02"
481,13,"2020-02-15 12:07:09+02"
482,4,"2020-02-15 12:07:09+02"
483,10,"2020-02-15 12:07:09+02"
484,4,"2020-02-15 12:07:09+02"
485,3,"2020-02-15 12:07:09+02"
486,9,"2020-02-15 12:07:09+02"
487,4,"2020-02-15 12:07:09+02"
488,15,"2020-02-15 12:07:09+02"
489,2,"2020-02-15 12:07:09+02"
490,13,"2020-02-15 12:07:09+02"
491,3,"2020-02-15 12:07:09+02"
492,13,"2020-02-15 12:07:09+02"
493,9,"2020-02-15 12:07:09+02"
494,11,"2020-02-15 12:07:09+02"
495,11,"2020-02-15 12:07:09+02"
496,16,"2020-02-15 12:07:09+02"
497,6,"2020-02-15 12:07:09+02"
498,8,"2020-02-15 12:07:09+02"
499,8,"2020-02-15 12:07:09+02"
500,9,"2020-02-15 12:07:09+02"
501,1,"2020-02-15 12:07:09+02"
502,5,"2020-02-15 12:07:09+02"
503,15,"2020-02-15 12:07:09+02"
504,7,"2020-02-15 12:07:09+02"
505,3,"2020-02-15 12:07:09+02"
506,11,"2020-02-15 12:07:09+02"
507,10,"2020-02-15 12:07:09+02"
508,10,"2020-02-15 12:07:09+02"
509,3,"2020-02-15 12:07:09+02"
510,2,"2020-02-15 12:07:09+02"
511,1,"2020-02-15 12:07:09+02"
512,4,"2020-02-15 12:07:09+02"
513,16,"2020-02-15 12:07:09+02"
514,7,"2020-02-15 12:07:09+02"
515,3,"2020-02-15 12:07:09+02"
516,12,"2020-02-15 12:07:09+02"
517,15,"2020-02-15 12:07:09+02"
518,16,"2020-02-15 12:07:09+02"
519,15,"2020-02-15 12:07:09+02"
520,14,"2020-02-15 12:07:09+02"
521,7,"2020-02-15 12:07:09+02"
522,5,"2020-02-15 12:07:09+02"
523,4,"2020-02-15 12:07:09+02"
524,5,"2020-02-15 12:07:09+02"
525,4,"2020-02-15 12:07:09+02"
526,16,"2020-02-15 12:07:09+02"
527,11,"2020-02-15 12:07:09+02"
528,8,"2020-02-15 12:07:09+02"
529,5,"2020-02-15 12:07:09+02"
530,1,"2020-02-15 12:07:09+02"
531,9,"2020-02-15 12:07:09+02"
532,15,"2020-02-15 12:07:09+02"
533,9,"2020-02-15 12:07:09+02"
534,8,"2020-02-15 12:07:09+02"
535,11,"2020-02-15 12:07:09+02"
536,4,"2020-02-15 12:07:09+02"
537,4,"2020-02-15 12:07:09+02"
538,13,"2020-02-15 12:07:09+02"
539,7,"2020-02-15 12:07:09+02"
540,12,"2020-02-15 12:07:09+02"
541,2,"2020-02-15 12:07:09+02"
542,1,"2020-02-15 12:07:09+02"
543,16,"2020-02-15 12:07:09+02"
544,6,"2020-02-15 12:07:09+02"
545,9,"2020-02-15 12:07:09+02"
546,10,"2020-02-15 12:07:09+02"
547,3,"2020-02-15 12:07:09+02"
548,4,"2020-02-15 12:07:09+02"
549,1,"2020-02-15 12:07:09+02"
550,8,"2020-02-15 12:07:09+02"
551,13,"2020-02-15 12:07:09+02"
552,6,"2020-02-15 12:07:09+02"
553,3,"2020-02-15 12:07:09+02"
554,4,"2020-02-15 12:07:09+02"
555,5,"2020-02-15 12:07:09+02"
556,10,"2020-02-15 12:07:09+02"
557,8,"2020-02-15 12:07:09+02"
558,13,"2020-02-15 12:07:09+02"
559,14,"2020-02-15 12:07:09+02"
560,10,"2020-02-15 12:07:09+02"
561,13,"2020-02-15 12:07:09+02"
562,12,"2020-02-15 12:07:09+02"
563,10,"2020-02-15 12:07:09+02"
564,2,"2020-02-15 12:07:09+02"
565,9,"2020-02-15 12:07:09+02"
566,9,"2020-02-15 12:07:09+02"
567,9,"2020-02-15 12:07:09+02"
568,5,"2020-02-15 12:07:09+02"
569,2,"2020-02-15 12:07:09+02"
570,15,"2020-02-15 12:07:09+02"
571,6,"2020-02-15 12:07:09+02"
572,14,"2020-02-15 12:07:09+02"
573,3,"2020-02-15 12:07:09+02"
574,1,"2020-02-15 12:07:09+02"
575,6,"2020-02-15 12:07:09+02"
576,6,"2020-02-15 12:07:09+02"
577,15,"2020-02-15 12:07:09+02"
578,4,"2020-02-15 12:07:09+02"
579,1,"2020-02-15 12:07:09+02"
580,13,"2020-02-15 12:07:09+02"
581,12,"2020-02-15 12:07:09+02"
582,2,"2020-02-15 12:07:09+02"
583,2,"2020-02-15 12:07:09+02"
584,9,"2020-02-15 12:07:09+02"
585,7,"2020-02-15 12:07:09+02"
586,1,"2020-02-15 12:07:09+02"
587,6,"2020-02-15 12:07:09+02"
588,3,"2020-02-15 12:07:09+02"
589,6,"2020-02-15 12:07:09+02"
590,13,"2020-02-15 12:07:09+02"
591,10,"2020-02-15 12:07:09+02"
592,12,"2020-02-15 12:07:09+02"
593,11,"2020-02-15 12:07:09+02"
594,1,"2020-02-15 12:07:09+02"
595,9,"2020-02-15 12:07:09+02"
596,10,"2020-02-15 12:07:09+02"
597,10,"2020-02-15 12:07:09+02"
598,15,"2020-02-15 12:07:09+02"
599,15,"2020-02-15 12:07:09+02"
600,11,"2020-02-15 12:07:09+02"
601,16,"2020-02-15 12:07:09+02"
602,14,"2020-02-15 12:07:09+02"
603,8,"2020-02-15 12:07:09+02"
604,5,"2020-02-15 12:07:09+02"
605,9,"2020-02-15 12:07:09+02"
606,15,"2020-02-15 12:07:09+02"
607,9,"2020-02-15 12:07:09+02"
608,3,"2020-02-15 12:07:09+02"
609,16,"2020-02-15 12:07:09+02"
610,8,"2020-02-15 12:07:09+02"
611,4,"2020-02-15 12:07:09+02"
612,15,"2020-02-15 12:07:09+02"
613,5,"2020-02-15 12:07:09+02"
614,10,"2020-02-15 12:07:09+02"
615,2,"2020-02-15 12:07:09+02"
616,6,"2020-02-15 12:07:09+02"
617,8,"2020-02-15 12:07:09+02"
618,7,"2020-02-15 12:07:09+02"
619,15,"2020-02-15 12:07:09+02"
620,14,"2020-02-15 12:07:09+02"
621,8,"2020-02-15 12:07:09+02"
622,6,"2020-02-15 12:07:09+02"
623,9,"2020-02-15 12:07:09+02"
624,10,"2020-02-15 12:07:09+02"
625,14,"2020-02-15 12:07:09+02"
626,3,"2020-02-15 12:07:09+02"
627,6,"2020-02-15 12:07:09+02"
628,15,"2020-02-15 12:07:09+02"
629,6,"2020-02-15 12:07:09+02"
630,7,"2020-02-15 12:07:09+02"
631,15,"2020-02-15 12:07:09+02"
632,13,"2020-02-15 12:07:09+02"
633,4,"2020-02-15 12:07:09+02"
634,8,"2020-02-15 12:07:09+02"
635,13,"2020-02-15 12:07:09+02"
636,12,"2020-02-15 12:07:09+02"
637,14,"2020-02-15 12:07:09+02"
638,5,"2020-02-15 12:07:09+02"
639,8,"2020-02-15 12:07:09+02"
640,9,"2020-02-15 12:07:09+02"
641,9,"2020-02-15 12:07:09+02"
642,16,"2020-02-15 12:07:09+02"
643,7,"2020-02-15 12:07:09+02"
644,2,"2020-02-15 12:07:09+02"
645,16,"2020-02-15 12:07:09+02"
646,10,"2020-02-15 12:07:09+02"
647,12,"2020-02-15 12:07:09+02"
648,16,"2020-02-15 12:07:09+02"
649,2,"2020-02-15 12:07:09+02"
650,6,"2020-02-15 12:07:09+02"
651,2,"2020-02-15 12:07:09+02"
652,4,"2020-02-15 12:07:09+02"
653,11,"2020-02-15 12:07:09+02"
654,10,"2020-02-15 12:07:09+02"
655,14,"2020-02-15 12:07:09+02"
656,16,"2020-02-15 12:07:09+02"
657,5,"2020-02-15 12:07:09+02"
658,11,"2020-02-15 12:07:09+02"
659,1,"2020-02-15 12:07:09+02"
660,5,"2020-02-15 12:07:09+02"
661,9,"2020-02-15 12:07:09+02"
662,7,"2020-02-15 12:07:09+02"
663,4,"2020-02-15 12:07:09+02"
664,1,"2020-02-15 12:07:09+02"
665,11,"2020-02-15 12:07:09+02"
